product_id,product_name,category,sub_category,price_per_unit,cost_per_unit
TEC-APP-10001389,"Apple Audio Dock, with Caller ID",Technology,Phones,166.89,16.34907668552434
FUR-TA-10004219,"Bevis Computer Table, with Bottom Storage",Furniture,Tables,496.71,259.9141639620451
TEC-CO-10003951,"HP Copy Machine, High-Speed",Technology,Copiers,243.69,21.702575078559146
TEC-MA-10003780,"Epson Card Printer, White",Technology,Machines,168.36,21.165916698513218
OFF-ELD-10004324,"Eldon File Cart, Blue",Office Supplies,Storage,126.96,25.228692167186882
FUR-SAF-10002360,"Safco Stackable Bookrack, Pine",Furniture,Bookcases,151.5,40.87209083589004
FUR-FU-10004097,"Advantus Door Stop, Duo Pack",Furniture,Furnishings,45.09,20.084792001784773
FUR-BO-10004681,"Ikea Stackable Bookrack, Metal",Furniture,Bookcases,122.04,74.94128183268691
FUR-BO-10000330,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",Furniture,Bookcases,120.98,15.619392534226405
OFF-AP-10001568,"Hamilton Beach Toaster, Silver",Office Supplies,Appliances,58.26,29.8221409446098
TEC-NOK-10003562,"Nokia Audio Dock, Full Size",Technology,Phones,168.03,50.97223063332429
TEC-AC-10000512,"Enermax Keyboard, Bluetooth",Technology,Accessories,83.46,25.453414514838542
OFF-BI-10004861,"Cardinal Binding Machine, Clear",Office Supplies,Binders,32.82,0.15630352956450877
FUR-BO-10004704,"Bush Corner Shelving, Pine",Furniture,Bookcases,125.34,12.403332016511921
TEC-AC-10002255,"Memorex Keyboard, Erganomic",Technology,Accessories,69.15,0.3680018286948125
TEC-MEM-10000374,"Memorex Router, Programmable",Technology,Accessories,247.71,69.05233816416809
OFF-BI-10001621,"Cardinal Binding Machine, Economy",Office Supplies,Binders,49.77,3.929485295180348
OFF-AP-10001593,"Cuisinart Microwave, Red",Office Supplies,Appliances,278.46,39.12628829476699
OFF-IBI-10001123,"Ibico 3-Hole Punch, Recycled",Office Supplies,Binders,30.81,13.89191520675406
OFF-AP-10000335,"Cuisinart Microwave, Red",Office Supplies,Appliances,278.46,95.73305104141366
TEC-MA-10002790,NeatDesk Desktop Scanner & Digital Filing System,Technology,Machines,399.99,135.23481213214245
TEC-MA-10004255,Konica Minolta magicolor 1690MF Multifunction Printer,Technology,Machines,39.99,15.606582871884688
OFF-AP-10001293,Belkin 8 Outlet Surge Protector,Office Supplies,Appliances,40.98,7.179584483483244
FUR-CH-10004725,"Office Star Bag Chairs, Set of Two",Furniture,Chairs,38.46,9.77025368507703
OFF-SME-10004553,"Smead Lockers, Blue",Office Supplies,Storage,198.42,88.36895529284783
TEC-MA-10003868,"StarTech Phone, Durable",Technology,Machines,74.64,64.61135134683157
OFF-BIC-10002270,"BIC Pencil Sharpener, Water Color",Office Supplies,Art,32.19,1.8770723982448787
OFF-PA-10001650,"Xerox Message Books, Premium",Office Supplies,Paper,20.37,3.7984889457860658
TEC-MA-10000161,"Okidata Inkjet, Wireless",Technology,Machines,314.1,5.447308709049053
TEC-MEM-10003302,"Memorex Numeric Keypad, Erganomic",Technology,Accessories,46.71,20.88452891137806
OFF-BI-10004666,"Wilson Jones Binding Machine, Durable",Office Supplies,Binders,50.46,8.19786302033204
TEC-CO-10002063,"Sharp Fax Machine, Color",Technology,Copiers,198.06,10.351948264720516
OFF-PA-10000453,"Xerox Cards & Envelopes, 8.5 x 11",Office Supplies,Paper,49.11,14.025629377018925
TEC-PH-10002419,"Motorola Headset, Cordless",Technology,Phones,82.59,3.8344079118323298
OFF-AP-10001274,"Hoover Microwave, Black",Office Supplies,Appliances,308.07,22.145407852904174
OFF-PA-10002047,"Green Bar Cards & Envelopes, 8.5 x 11",Office Supplies,Paper,52.53,34.78942924943203
OFF-SU-10002027,"Stiletto Letter Opener, High Speed",Office Supplies,Supplies,27.78,0.2517834771815374
FUR-TA-10003690,"Hon Computer Table, Fully Assembled",Furniture,Tables,493.71,162.939811195693
OFF-AR-10000659,"BIC Pencil Sharpener, Fluorescent",Office Supplies,Art,30.27,4.523673137028163
OFF-BI-10004390,GBC DocuBind 200 Manual Binding Machine,Office Supplies,Binders,420.98,45.34634175807636
OFF-AP-10004295,"Cuisinart Refrigerator, Silver",Office Supplies,Appliances,496.83,24.765286677131577
TEC-CO-10001382,"HP Personal Copier, Laser",Technology,Copiers,124.29,37.817954783525586
OFF-AP-10004946,"KitchenAid Toaster, Black",Office Supplies,Appliances,84.75,26.99134858185862
TEC-MA-10001881,"Konica Card Printer, Red",Technology,Machines,172.32,68.91173584738108
FUR-HON-10002570,"Hon Chairmat, Set of Two",Furniture,Chairs,57.78,38.65559185840707
OFF-ST-10003907,"Rogers Shelving, Wire Frame",Office Supplies,Storage,61.2,0.024842437151429003
OFF-ST-10003153,"Tenex File Cart, Single Width",Office Supplies,Storage,134.61,3.9119383515005772
TEC-AC-10000397,"Enermax Mouse, USB",Technology,Accessories,40.5,13.857884051458793
FUR-BEV-10004919,"Bevis Wood Table, with Bottom Storage",Furniture,Tables,533.61,55.261525078548615
FUR-TA-10004383,"Bevis Coffee Table, Adjustable Height",Furniture,Tables,320.37,153.86244066512822
TEC-MA-10002149,"Panasonic Receipt Printer, Durable",Technology,Machines,121.02,12.434411881360463
OFF-ST-10003835,"Rogers Folders, Single Width",Office Supplies,Storage,30.72,19.014701857191433
FUR-BO-10001892,"Sauder Library with Doors, Pine",Furniture,Bookcases,388.98,34.46618470218517
TEC-AC-10000053,"SanDisk Router, USB",Technology,Accessories,256.56,59.40544162934564
TEC-PH-10001614,"Motorola Audio Dock, VoIP",Technology,Phones,173.46,88.65754730296779
TEC-MA-10003471,"StarTech Phone, Wireless",Technology,Machines,49.68,17.412157191979716
OFF-AR-10003247,"Boston Highlighters, Water Color",Office Supplies,Art,22.05,11.604076905174534
OFF-STI-10003234,"Stiletto Trimmer, Steel",Office Supplies,Supplies,42.15,5.523569074490849
OFF-ROG-10001735,"Rogers Lockers, Blue",Office Supplies,Storage,211.62,1.3143889554893862
OFF-EN-10003055,"Blue String-Tie & Button Interoffice Envelopes, 10 x 13",Office Supplies,Envelopes,39.98,7.68726810891648
FUR-FU-10001488,"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped",Furniture,Furnishings,105.98,29.252170871061203
OFF-AP-10001905,"KitchenAid Toaster, White",Office Supplies,Appliances,83.46,38.806679131736225
OFF-SU-10003160,"Acme Ruler, High Speed",Office Supplies,Supplies,16.71,0.09639736185638714
OFF-ST-10003455,"Fellowes Lockers, Blue",Office Supplies,Storage,207.33,4.106522084695299
TEC-MA-10003261,"Panasonic Phone, Durable",Technology,Machines,84.96,33.17776454580754
OFF-ST-10003995,"Eldon File Cart, Single Width",Office Supplies,Storage,127.92,33.78740291341974
TEC-MA-10000327,"Epson Phone, Durable",Technology,Machines,81.09,17.901882349911947
OFF-AP-10000604,"Breville Microwave, Silver",Office Supplies,Appliances,201.64,148.5161831209985
TEC-PH-10001750,Samsung Rugby III,Technology,Phones,65.99,11.592854891447628
FUR-BUS-10004644,"Bush Library with Doors, Pine",Furniture,Bookcases,365.67,131.5897693233341
TEC-AC-10003447,Micropad Numeric Keypads,Technology,Accessories,19.99,8.946479366616177
FUR-FU-10001770,"Deflect-O Clock, Erganomic",Furniture,Furnishings,48.93,5.309001798311059
TEC-CAN-10004166,"Canon Personal Copier, Color",Technology,Copiers,144.18,40.047813770740376
FUR-BO-10001585,"Sauder Floating Shelf Set, Mobile",Furniture,Bookcases,197.1,100.6702035467505
TEC-PH-10002907,"Motorola Headset, VoIP",Technology,Phones,79.83,5.417107779265784
FUR-CH-10002002,"Hon Rocking Chair, Black",Furniture,Chairs,128.19,24.154379225068826
FUR-CH-10003033,"Novimex Rocking Chair, Adjustable",Furniture,Chairs,133.92,3.2798825970259027
FUR-BO-10002462,"Ikea Classic Bookcase, Pine",Furniture,Bookcases,413.1,60.55684213340178
TEC-AC-10004478,"SanDisk Numeric Keypad, Bluetooth",Technology,Accessories,55.56,20.75233819292385
FUR-BO-10004773,"Ikea Floating Shelf Set, Mobile",Furniture,Bookcases,172.86,34.46497199814274
TEC-AC-10001056,"Belkin Router, USB",Technology,Accessories,258.96,6.289997541074825
TEC-PH-10002726,netTALK DUO VoIP Telephone Service,Technology,Phones,52.49,17.26500571785188
TEC-HP -10001574,"HP Fax Machine, Laser",Technology,Copiers,299.94,77.49247348864048
TEC-AC-10004269,"Belkin Memory Card, USB",Technology,Accessories,115.02,35.958730875405045
OFF-AP-10000751,"Breville Refrigerator, Black",Office Supplies,Appliances,345.84,155.15773637307646
FUR-CH-10002498,"Harbour Creations Steel Folding Chair, Red",Furniture,Chairs,97.89,41.08563879297946
OFF-KIT-10003757,"KitchenAid Refrigerator, Red",Office Supplies,Appliances,527.94,395.97320418885465
FUR-TA-10000989,"Lesro Conference Table, Rectangular",Furniture,Tables,855.15,144.10921377776407
OFF-ADV-10003050,"Advantus Rubber Bands, Bulk Pack",Office Supplies,Fasteners,16.59,0.292049910132178
OFF-ST-10002515,"Eldon Lockers, Wire Frame",Office Supplies,Storage,196.98,179.7005461481896
OFF-BI-10004519,GBC DocuBind P100 Manual Binding Machine,Office Supplies,Binders,165.98,17.39118226047411
FUR-BO-10002926,"Bush Stackable Bookrack, Mobile",Furniture,Bookcases,123.51,15.53109016000085
FUR-FU-10004031,"Advantus Frame, Durable",Furniture,Furnishings,108.15,36.284998014037285
FUR-TA-10003497,"Bevis Training Table, Adjustable Height",Furniture,Tables,224.78,20.26031626384676
TEC-AC-10004855,V7 USB Numeric Keypad,Technology,Accessories,34.99,13.328685942069132
FUR-TA-10000355,"Bevis Wood Table, with Bottom Storage",Furniture,Tables,533.61,443.7853183339497
OFF-ST-10002423,"Smead Shelving, Single Width",Office Supplies,Storage,32.64,18.431821067998595
OFF-EAT-10003702,"Eaton Note Cards, Premium",Office Supplies,Paper,27.99,2.7786976541517703
OFF-ST-10001213,"Smead Shelving, Industrial",Office Supplies,Storage,49.41,2.8999949207460447
TEC-PH-10001619,"Cisco Signal Booster, Full Size",Technology,Phones,153.12,41.342847018293114
OFF-AR-10002331,"Binney & Smith Canvas, Blue",Office Supplies,Art,51.36,11.93827611704991
OFF-AP-10001178,"KitchenAid Stove, Red",Office Supplies,Appliances,570.15,152.11234277721906
OFF-AP-10002629,"Cuisinart Stove, White",Office Supplies,Appliances,536.43,346.4693964729508
OFF-ST-10004976,"Rogers Lockers, Blue",Office Supplies,Storage,141.08,13.760162953951856
OFF-SU-10002653,"Kleencut Letter Opener, High Speed",Office Supplies,Supplies,26.46,16.72290844004853
FUR-TA-10003185,"Chromcraft Computer Table, Fully Assembled",Furniture,Tables,444.9,221.97054510861068
FUR-HON-10000103,"Hon Swivel Stool, Red",Furniture,Chairs,163.65,45.97477860134211
TEC-CO-10002350,"Canon Wireless Fax, Digital",Technology,Copiers,378.3,103.0101076805796
OFF-ST-10002437,"Eldon Trays, Blue",Office Supplies,Storage,47.97,32.17671463573894
FUR-BO-10004725,"Sauder Library with Doors, Metal",Furniture,Bookcases,258.06,44.07229968730357
OFF-AP-10001947,Acco 6 Outlet Guardian Premium Plus Surge Suppressor,Office Supplies,Appliances,18.32,0.5872964907080517
FUR-FU-10001692,"Deflect-O Clock, Durable",Furniture,Furnishings,47.34,28.095815434224548
OFF-ST-10000505,"Fellowes File Cart, Blue",Office Supplies,Storage,91.54,12.873651534088632
FUR-TEN-10000525,"Tenex Clock, Black",Furniture,Furnishings,50.25,15.981572106705123
FUR-TA-10002611,"Barricks Computer Table, with Bottom Storage",Furniture,Tables,320.02,348.6760030589495
OFF-ST-10001729,"Tenex Lockers, Single Width",Office Supplies,Storage,136.12,55.26902840383205
OFF-AR-10004519,"Boston Canvas, Fluorescent",Office Supplies,Art,54.9,11.75176304915749
FUR-TA-10003954,Hon 94000 Series Round Tables,Furniture,Tables,296.18,105.07007700042081
OFF-AP-10000240,Belkin F9G930V10-GRY 9 Outlet Surge,Office Supplies,Appliances,53.48,28.13146132533443
FUR-CH-10001647,"Novimex Swivel Stool, Black",Furniture,Chairs,108.02,15.288251529640096
FUR-CH-10002275,"Novimex Executive Leather Armchair, Adjustable",Furniture,Chairs,460.44,49.62208662651174
TEC-CO-10004099,"Sharp Fax Machine, Digital",Technology,Copiers,295.29,63.20021283440391
FUR-CH-10003956,Novimex High-Tech Fabric Mesh Task Chair,Furniture,Chairs,70.98,32.92821250681592
OFF-ST-10004748,"Smead Lockers, Blue",Office Supplies,Storage,198.42,6.399508477702812
OFF-AP-10002872,"Cuisinart Coffee Grinder, White",Office Supplies,Appliances,36.75,2.1631911204280936
FUR-TA-10003319,"Barricks Coffee Table, with Bottom Storage",Furniture,Tables,201,14.221182676082629
FUR-CH-10002335,"Hon Steel Folding Chair, Red",Furniture,Chairs,81.42,10.50388204018306
TEC-STA-10004542,"StarTech Calculator, Durable",Technology,Machines,40.08,4.5720210518663364
FUR-DAN-10001622,"Dania Library with Doors, Pine",Furniture,Bookcases,363.75,262.1338641362202
TEC-PH-10003963,GE 2-Jack Phone Line Splitter,Technology,Phones,205.99,12.88613385781544
FUR-CH-10003950,"Novimex Executive Leather Armchair, Black",Furniture,Chairs,457.95,42.94412015419204
OFF-SAN-10001546,"SanDisk Computer Printout Paper, Recycled",Office Supplies,Paper,29.7,14.613295908106123
OFF-SAN-10002484,"Sanford Canvas, Blue",Office Supplies,Art,50.52,31.840692670444326
FUR-CH-10001802,Hon Every-Day Chair Series Swivel Task Chairs,Furniture,Chairs,120.98,93.5116107418536
TEC-MA-10003330,"Panasonic Receipt Printer, Wireless",Technology,Machines,120.9,10.155884234829205
TEC-PH-10003774,"Cisco Headset, with Caller ID",Technology,Phones,88.44,8.410752092395493
FUR-BO-10002334,"Ikea 3-Shelf Cabinet, Pine",Furniture,Bookcases,95.86,22.085431018942142
TEC-CO-10003353,"HP Personal Copier, High-Speed",Technology,Copiers,122.49,27.177077919619986
TEC-PH-10000599,"Samsung Audio Dock, Cordless",Technology,Phones,113.12,20.774421112310986
OFF-FA-10003893,"OIC Paper Clips, 12 Pack",Office Supplies,Fasteners,13.86,5.888572618099666
FUR-CH-10004194,"Harbour Creations Steel Folding Chair, Set of Two",Furniture,Chairs,66.76,24.25176612415169
OFF-AR-10001714,"Binney & Smith Markers, Fluorescent",Office Supplies,Art,25.35,9.514605617995768
FUR-IKE-10003015,"Ikea Library with Doors, Mobile",Furniture,Bookcases,365.91,240.43794754241623
TEC-CO-10004081,"HP Personal Copier, High-Speed",Technology,Copiers,81.66,76.37242671572479
TEC-PH-10004888,"Samsung Audio Dock, VoIP",Technology,Phones,111.28,10.259085096043847
OFF-HOO-10004243,"Hoover Microwave, Black",Office Supplies,Appliances,308.07,70.79403002585717
FUR-ELD-10004727,"Eldon Stacking Tray, Black",Furniture,Furnishings,31.5,20.167631471257064
TEC-PH-10001795,RCA H5401RE1 DECT 6.0 4-Line Cordless Handset With Caller ID/Call Waiting,Technology,Phones,79.99,8.036741633648056
FUR-BO-10004935,"Ikea Stackable Bookrack, Mobile",Furniture,Bookcases,83.4,55.452569064859844
TEC-PH-10003368,"Samsung Signal Booster, Full Size",Technology,Phones,91.92,87.40719794532882
OFF-ST-10004963,Eldon Gobal File Keepers,Office Supplies,Storage,15.14,11.526575949050478
OFF-ST-10002085,"Tenex File Cart, Industrial",Office Supplies,Storage,134.13,30.79826103870777
TEC-KON-10003116,"Konica Receipt Printer, Red",Technology,Machines,119.4,81.28404059742185
OFF-SU-10000105,"Fiskars Shears, Easy Grip",Office Supplies,Supplies,49.26,42.64643695640398
OFF-PA-10001979,"Enermax Message Books, Premium",Office Supplies,Paper,22.5,15.456222568821811
OFF-GLO-10000485,"GlobeWeis Mailers, Security-Tint",Office Supplies,Envelopes,40.95,24.37025382384696
OFF-LA-10003510,"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White",Office Supplies,Labels,30.53,16.125144750146376
TEC-CO-10001472,"Sharp Copy Machine, Laser",Technology,Copiers,239.04,2.137749954241166
FUR-FU-10000298,"Eldon Photo Frame, Duo Pack",Furniture,Furnishings,58.17,35.34264754326993
TEC-PH-10002392,"Nokia Signal Booster, Cordless",Technology,Phones,92.9,4.164336513428296
TEC-CIS-10001717,"Cisco Smart Phone, with Caller ID",Technology,Phones,654.24,23.574373106452914
TEC-PH-10002352,Avaya IP Phone 1140E VoIP phone,Technology,Phones,278.99,114.33488983065459
OFF-AP-10003615,"Hamilton Beach Blender, Black",Office Supplies,Appliances,70.47,15.451595275825165
TEC-MA-10003515,"Panasonic Printer, Red",Technology,Machines,263.64,1.3926596828069755
TEC-PH-10004048,"Apple Audio Dock, Full Size",Technology,Phones,112.12,1.1794506416015729
FUR-BO-10003404,"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish",Furniture,Bookcases,430.98,312.86123955705926
TEC-EPS-10002212,"Epson Receipt Printer, White",Technology,Machines,115.44,23.050075218508663
OFF-ST-10000710,"Smead Shelving, Blue",Office Supplies,Storage,48.93,2.3225781849505016
TEC-PH-10000369,HTC One Mini,Technology,Phones,125.99,9.084376102443061
TEC-CO-10002526,"Sharp Wireless Fax, Digital",Technology,Copiers,355.56,11.422702944000699
FUR-TA-10003522,"Chromcraft Conference Table, with Bottom Storage",Furniture,Tables,581.78,383.63276467296936
FUR-BO-10000008,"Sauder Library with Doors, Traditional",Furniture,Bookcases,387.63,500.33317178849
OFF-KIT-10003611,"KitchenAid Stove, Red",Office Supplies,Appliances,570.15,20.842855807802124
OFF-AP-10001299,"Cuisinart Microwave, Silver",Office Supplies,Appliances,279.21,120.1648226699451
OFF-BI-10004181,"Avery 3-Hole Punch, Clear",Office Supplies,Binders,27.33,10.286547609492454
OFF-ST-10002873,"Fellowes Folders, Industrial",Office Supplies,Storage,17.92,2.419196547742159
TEC-MA-10004956,"Konica Card Printer, Red",Technology,Machines,114.88,21.85641621500973
OFF-BI-10004632,Ibico Hi-Tech Manual Binding System,Office Supplies,Binders,304.99,2.3294069313904693
FUR-CH-10004783,"Novimex Chairmat, Red",Furniture,Chairs,37.56,13.901412900626207
FUR-BO-10003549,"Sauder Floating Shelf Set, Metal",Furniture,Bookcases,194.04,16.73662634302865
TEC-PH-10001530,Cisco Unified IP Phone 7945G VoIP phone,Technology,Phones,340.99,47.660552000569105
FUR-TA-10004810,"Barricks Computer Table, Adjustable Height",Furniture,Tables,316.94,59.231808179334585
FUR-CH-10002212,"Hon Chairmat, Black",Furniture,Chairs,53.1,23.164358787171153
FUR-CH-10003702,"Office Star Rocking Chair, Adjustable",Furniture,Chairs,143.4,98.98728717383956
FUR-CH-10004455,"Harbour Creations Swivel Stool, Red",Furniture,Chairs,180.12,72.93406856942674
OFF-PA-10001033,Xerox 1893,Office Supplies,Paper,40.99,7.083624020480067
OFF-ST-10004341,"Tenex File Cart, Single Width",Office Supplies,Storage,134.16,75.9243769919857
FUR-CH-10001714,"Global Leather & Oak Executive Chair, Burgundy",Furniture,Chairs,150.89,7.8240997915558825
TEC-MA-10004482,"Panasonic Card Printer, White",Technology,Machines,172.23,61.92696347898946
OFF-AP-10001402,"KitchenAid Coffee Grinder, White",Office Supplies,Appliances,45.74,2.7436022117713326
TEC-CO-10004481,"Canon Fax and Copier, Color",Technology,Copiers,128.52,14.944539040499789
OFF-AP-10003298,"KitchenAid Coffee Grinder, Black",Office Supplies,Appliances,69.9,12.882775474423203
OFF-PA-10003899,"SanDisk Memo Slips, Multicolor",Office Supplies,Paper,18.39,13.419837583008476
OFF-EN-10004870,"Jiffy Mailers, Security-Tint",Office Supplies,Envelopes,26.38,6.2352527733074785
FUR-TA-10003576,"Hon Coffee Table, Adjustable Height",Furniture,Tables,318.09,283.36281453351825
OFF-EN-10002504,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",Office Supplies,Envelopes,27.18,3.519158124832167
TEC-MA-10001752,"Konica Printer, Durable",Technology,Machines,267.96,147.4540141742756
TEC-CO-10001919,"Brother Fax Machine, Color",Technology,Copiers,213.32,29.95304664433694
OFF-AP-10001504,"Cuisinart Blender, Black",Office Supplies,Appliances,66.42,9.867837929161617
TEC-PH-10000358,"Samsung Headset, with Caller ID",Technology,Phones,73.2,4.4191401373414525
OFF-SU-10003221,"Acme Trimmer, Easy Grip",Office Supplies,Supplies,46.2,0.41182432399747393
FUR-TA-10004132,"Bevis Coffee Table, with Bottom Storage",Furniture,Tables,318.18,24.52024979254469
OFF-AP-10003917,"KitchenAid Stove, Silver",Office Supplies,Appliances,570.9,167.2570755783701
TEC-PH-10002154,"Cisco Headset, Full Size",Technology,Phones,89.73,45.5638353528959
TEC-AC-10000269,"Memorex Numeric Keypad, USB",Technology,Accessories,43.02,10.603833063228588
FUR-TA-10004442,Riverside Furniture Stanwyck Manor Table Series,Furniture,Tables,286.85,224.0114559264819
TEC-AC-10003904,"SanDisk Keyboard, USB",Technology,Accessories,81.69,71.57048682368392
OFF-AR-10001672,"Boston Sketch Pad, Easy-Erase",Office Supplies,Art,48.87,9.759192761848295
FUR-CHR-10003806,"Chromcraft Conference Table, with Bottom Storage",Furniture,Tables,872.67,267.25008054193523
FUR-FU-10001711,"Tenex Frame, Erganomic",Furniture,Furnishings,72.4,1.2714793125174273
FUR-SAU-10002255,"Sauder Classic Bookcase, Pine",Furniture,Bookcases,437.34,34.351606800463586
TEC-PH-10001900,"Motorola Signal Booster, VoIP",Technology,Phones,143.22,71.37411133835793
OFF-AP-10001018,"Cuisinart Refrigerator, White",Office Supplies,Appliances,494.22,153.13883793632408
OFF-AR-10004739,"BIC Canvas, Easy-Erase",Office Supplies,Art,53.97,2.270363256716075
TEC-KON-10001624,"Konica Receipt Printer, Durable",Technology,Machines,122.37,13.925852093359962
FUR-CH-10004054,"Hon Rocking Chair, Set of Two",Furniture,Chairs,88.58,4.224664419577578
FUR-FU-10004622,Eldon Advantage Foldable Chair Mats for Low Pile Carpets,Furniture,Furnishings,54.2,4.887399855405878
OFF-PA-10004946,"SanDisk Note Cards, Multicolor",Office Supplies,Paper,33.96,4.638059932294682
FUR-CH-10000891,"Harbour Creations Executive Leather Armchair, Black",Furniture,Chairs,315.74,104.46142838086276
FUR-CH-10000225,"Global Geo Office Task Chair, Gray",Furniture,Chairs,80.98,11.0707471410566
OFF-AP-10001138,"Cuisinart Blender, Silver",Office Supplies,Appliances,67.74,61.27268795751805
OFF-SU-10003749,"Fiskars Box Cutter, Easy Grip",Office Supplies,Supplies,24.76,7.801369220714497
FUR-CH-10000966,"Harbour Creations Chairmat, Set of Two",Furniture,Chairs,74.25,12.937582345617278
FUR-BO-10004842,"Dania 3-Shelf Cabinet, Pine",Furniture,Bookcases,142.8,24.21534585224067
TEC-MA-10002779,"Panasonic Receipt Printer, Red",Technology,Machines,118.05,3.915870520041601
OFF-BRE-10003443,"Breville Refrigerator, Silver",Office Supplies,Appliances,520.08,126.31464015408558
TEC-AC-10003095,Logitech G35 7.1-Channel Surround Sound Headset,Technology,Accessories,129.99,38.863825481704254
FUR-BO-10002529,"Safco Library with Doors, Metal",Furniture,Bookcases,389.25,111.74743877119263
TEC-AC-10003044,"Belkin Numeric Keypad, Erganomic",Technology,Accessories,39.5,19.858291302115326
TEC-MA-10004609,"Okidata Inkjet, White",Technology,Machines,311.25,15.201494616326503
OFF-ST-10001809,Fellowes Officeware Wire Shelving,Office Supplies,Storage,89.83,4.3673987033017765
FUR-TA-10000478,"Bevis Round Table, Fully Assembled",Furniture,Tables,346.44,169.52781599159127
TEC-CO-10001818,"Brother Ink, Digital",Technology,Copiers,97.96,5.217948771404364
FUR-CH-10004860,Global Low Back Tilter Chair,Furniture,Chairs,100.98,31.90140163976498
OFF-PA-10001170,"Xerox Cards & Envelopes, Multicolor",Office Supplies,Paper,30.92,10.326473086196348
FUR-CH-10002974,"SAFCO Rocking Chair, Red",Furniture,Chairs,134.91,39.572737726038554
TEC-AC-10003666,"Memorex Router, Bluetooth",Technology,Accessories,246.21,41.89740785046173
FUR-CH-10004810,"Hon Swivel Stool, Set of Two",Furniture,Chairs,165.9,14.985659898284593
TEC-MA-10000331,"Okidata Printer, White",Technology,Machines,266.91,45.74008805501565
TEC-CIS-10002986,"Cisco Speaker Phone, Cordless",Technology,Phones,141.33,61.05164713812009
TEC-PH-10001677,"Nokia Office Telephone, Full Size",Technology,Phones,44.28,10.398798241131068
FUR-CH-10002940,"Harbour Creations Chairmat, Black",Furniture,Chairs,69.57,5.208892150972408
TEC-CO-10000452,"HP Copy Machine, Laser",Technology,Copiers,243.33,12.680694620700134
OFF-BI-10000590,"Wilson Jones Binding Machine, Clear",Office Supplies,Binders,48.42,15.15285067240684
OFF-HON-10002389,"Hon Legal Exhibit Labels, 5000 Label Set",Office Supplies,Labels,11.25,7.2830651364857735
FUR-CH-10003746,"Novimex Executive Leather Armchair, Black",Furniture,Chairs,457.95,192.26294084316677
TEC-MA-10000261,"StarTech Calculator, Red",Technology,Machines,37.11,19.309867226798588
TEC-CO-10001703,"Brother Copy Machine, Laser",Technology,Copiers,261.93,77.9881315637444
TEC-PH-10000365,"Cisco Office Telephone, with Caller ID",Technology,Phones,80.46,0.05389552031229752
OFF-SAN-10003687,"Sanford Sketch Pad, Easy-Erase",Office Supplies,Art,45.75,7.417995520753459
TEC-PH-10002456,"Cisco Speaker Phone, Cordless",Technology,Phones,141.33,36.13480696495414
OFF-BI-10001744,"Acco Binding Machine, Economy",Office Supplies,Binders,51.09,30.18666633104429
TEC-KON-10002034,"Konica Receipt Printer, Wireless",Technology,Machines,122.25,64.78700631832154
FUR-BO-10000490,"Bush Library with Doors, Metal",Furniture,Bookcases,363.78,36.55414969514322
TEC-AC-10003921,"Enermax Numeric Keypad, USB",Technology,Accessories,55.14,45.26254196436755
FUR-BO-10002680,"Sauder 3-Shelf Cabinet, Traditional",Furniture,Bookcases,166.68,66.76948615790232
FUR-BO-10003284,"Sauder Floating Shelf Set, Mobile",Furniture,Bookcases,131.4,21.20571582435226
FUR-TA-10003747,"Lesro Round Table, Rectangular",Furniture,Tables,449.58,379.034266934001
FUR-BUS-10001781,"Bush Library with Doors, Metal",Furniture,Bookcases,363.78,225.76428634401375
TEC-PH-10000458,"Nokia Office Telephone, Full Size",Technology,Phones,66.42,24.727476341675636
FUR-FU-10004876,"Eldon Frame, Erganomic",Furniture,Furnishings,114.87,74.44033536802401
TEC-HP -10003618,"HP Fax Machine, Digital",Technology,Copiers,299.58,83.94197639778915
FUR-TA-10002544,"Barricks Training Table, Fully Assembled",Furniture,Tables,319.77,259.9903574571212
OFF-ST-10001554,"Eldon Folders, Industrial",Office Supplies,Storage,17.46,12.180932656282632
